organization,account,operation,asset,anch_val,non_anch_val
Electric Sheep,ES Capital Fund,Delegation,CELO,171.33,0.00
Firetronics,FT Venture Fund,Staking,ROSE,0.00,105.09
Electric Sheep,ES Capital Fund,Delegation,ATOM,141.11,0.00
Moon Enterprises,ME Capital Fund,Delegation,SUI,0.00,127.24
Firetronics,FT Capital Fund,Staking,APT,122.50,0.00
Firetronics,FT Capital Fund,Delegation,FLOW,0.00,105.05
Electric Sheep,ES Capital Fund,Delegation,ATOM,160.47,0.00
Moon Enterprises,ME Capital Fund,Staking,AXL,0.00,133.41
Electric Sheep,ES Capital Fund,Delegation,APT,156.69,0.00
Moon Enterprises,ME Venture Fund,Staking,SEI,0.00,152.60
Firetronics,FT Capital Fund,Delegation,SEI,190.61,0.00
Firetronics,FT Capital Fund,Delegation,AXL,0.00,109.69
Firetronics,FT Capital Fund,Delegation,AXL,187.52,0.00
Moon Enterprises,ME Venture Fund,Staking,SUI,0.00,158.61
Electric Sheep,ES Venture Fund,Delegation,AXL,192.96,0.00
Firetronics,FT Venture Fund,Staking,AXL,0.00,139.31
Firetronics,FT Capital Fund,Staking,ATOM,155.96,0.00
Electric Sheep,ES Capital Fund,Delegation,EVMOS,0.00,128.40
Electric Sheep,ES Capital Fund,Delegation,AXL,143.95,0.00
Moon Enterprises,ME Venture Fund,Delegation,FLOW,0.00,174.55
Firetronics,FT Venture Fund,Delegation,ETH,164.11,0.00
Firetronics,FT Venture Fund,Staking,ROSE,0.00,199.97
Electric Sheep,ES Venture Fund,Delegation,SEI,192.18,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,137.13
Firetronics,FT Venture Fund,Delegation,FLOW,156.67,0.00
Firetronics,FT Capital Fund,Staking,FLOW,0.00,143.30
Moon Enterprises,ME Venture Fund,Staking,APT,165.76,0.00
Moon Enterprises,ME Venture Fund,Delegation,OSMO,0.00,137.48
Electric Sheep,ES Capital Fund,Staking,SUI,111.31,0.00
Electric Sheep,ES Venture Fund,Delegation,SUI,0.00,143.90
Electric Sheep,ES Venture Fund,Staking,AXL,136.35,0.00
Moon Enterprises,ME Venture Fund,Delegation,AXL,0.00,118.01
Moon Enterprises,ME Capital Fund,Staking,AXL,113.57,0.00
Firetronics,FT Capital Fund,Delegation,AXL,0.00,108.44
Electric Sheep,ES Venture Fund,Staking,FLOW,171.31,0.00
Electric Sheep,ES Capital Fund,Delegation,HASH,0.00,193.27
Electric Sheep,ES Capital Fund,Staking,HASH,147.66,0.00
Firetronics,FT Venture Fund,Staking,SUI,0.00,170.96
Firetronics,FT Capital Fund,Delegation,ROSE,154.55,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,153.49
Electric Sheep,ES Venture Fund,Delegation,ETH,107.78,0.00
Moon Enterprises,ME Venture Fund,Delegation,HASH,0.00,104.49
Moon Enterprises,ME Capital Fund,Delegation,FLOW,155.86,0.00
Firetronics,FT Capital Fund,Staking,HASH,0.00,164.77
Moon Enterprises,ME Capital Fund,Staking,SOL,129.96,0.00
Firetronics,FT Venture Fund,Delegation,ETH,0.00,113.24
Electric Sheep,ES Venture Fund,Staking,OSMO,197.64,0.00
Moon Enterprises,ME Venture Fund,Delegation,APT,0.00,135.80
Moon Enterprises,ME Venture Fund,Staking,ROSE,110.15,0.00
Electric Sheep,ES Venture Fund,Staking,AXL,0.00,156.89
Firetronics,FT Venture Fund,Staking,SUI,185.04,0.00
Moon Enterprises,ME Capital Fund,Staking,ETH,0.00,147.48
Moon Enterprises,ME Capital Fund,Staking,CELO,150.33,0.00
Firetronics,FT Venture Fund,Delegation,EVMOS,0.00,130.82
Electric Sheep,ES Venture Fund,Delegation,FLOW,164.00,0.00
Firetronics,FT Venture Fund,Staking,ATOM,0.00,141.71
Firetronics,FT Venture Fund,Staking,CELO,138.01,0.00
Firetronics,FT Venture Fund,Delegation,SUI,0.00,170.36
Moon Enterprises,ME Venture Fund,Staking,APT,183.34,0.00
Moon Enterprises,ME Venture Fund,Staking,SOL,0.00,120.44
Moon Enterprises,ME Venture Fund,Staking,APT,190.16,0.00
Electric Sheep,ES Capital Fund,Delegation,OSMO,0.00,173.96
Electric Sheep,ES Venture Fund,Delegation,EVMOS,167.39,0.00
Moon Enterprises,ME Capital Fund,Staking,HASH,0.00,102.20
Firetronics,FT Venture Fund,Staking,FLOW,195.02,0.00
Firetronics,FT Venture Fund,Staking,ATOM,0.00,152.93
Moon Enterprises,ME Venture Fund,Staking,OSMO,111.97,0.00
Moon Enterprises,ME Venture Fund,Staking,SOL,0.00,155.90
Moon Enterprises,ME Venture Fund,Delegation,ATOM,188.37,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,183.23
Electric Sheep,ES Capital Fund,Staking,ATOM,188.95,0.00
Moon Enterprises,ME Venture Fund,Staking,HASH,0.00,110.32
Electric Sheep,ES Venture Fund,Staking,APT,121.27,0.00
Firetronics,FT Venture Fund,Delegation,SOL,0.00,190.85
Electric Sheep,ES Venture Fund,Staking,EVMOS,126.86,0.00
Moon Enterprises,ME Venture Fund,Staking,FLOW,0.00,149.38
Electric Sheep,ES Capital Fund,Delegation,FLOW,100.09,0.00
Electric Sheep,ES Venture Fund,Delegation,HASH,0.00,181.65
Electric Sheep,ES Capital Fund,Staking,CELO,180.61,0.00
Moon Enterprises,ME Venture Fund,Staking,ETH,0.00,107.05
Firetronics,FT Capital Fund,Staking,SUI,198.02,0.00
Firetronics,FT Venture Fund,Staking,CELO,0.00,137.40
Moon Enterprises,ME Venture Fund,Delegation,HASH,163.94,0.00
Moon Enterprises,ME Capital Fund,Staking,APT,0.00,122.30
Firetronics,FT Capital Fund,Delegation,EVMOS,153.56,0.00
Moon Enterprises,ME Venture Fund,Delegation,ATOM,0.00,102.63
Firetronics,FT Capital Fund,Delegation,AXL,172.71,0.00
Moon Enterprises,ME Capital Fund,Delegation,HASH,0.00,138.92
Moon Enterprises,ME Capital Fund,Staking,ROSE,147.79,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,104.52
Firetronics,FT Venture Fund,Staking,HASH,151.18,0.00
Firetronics,FT Capital Fund,Delegation,SOL,0.00,168.20
Moon Enterprises,ME Venture Fund,Staking,FLOW,115.85,0.00
Firetronics,FT Venture Fund,Staking,SOL,0.00,131.37
Moon Enterprises,ME Venture Fund,Delegation,ROSE,156.12,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,183.75
Electric Sheep,ES Capital Fund,Staking,AXL,143.72,0.00
Firetronics,FT Venture Fund,Delegation,SUI,0.00,119.38
Firetronics,FT Capital Fund,Staking,ETH,118.95,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,132.96
Firetronics,FT Venture Fund,Staking,HASH,131.92,0.00
Moon Enterprises,ME Capital Fund,Delegation,EVMOS,0.00,169.85
Moon Enterprises,ME Capital Fund,Staking,ATOM,180.68,0.00
Electric Sheep,ES Capital Fund,Staking,AXL,0.00,157.86
Moon Enterprises,ME Capital Fund,Staking,FLOW,172.58,0.00
Firetronics,FT Venture Fund,Delegation,HASH,0.00,103.37
Firetronics,FT Venture Fund,Delegation,APT,114.49,0.00
Moon Enterprises,ME Capital Fund,Staking,ATOM,0.00,136.83
Firetronics,FT Capital Fund,Delegation,AXL,143.98,0.00
Moon Enterprises,ME Capital Fund,Staking,CELO,0.00,188.58
Firetronics,FT Venture Fund,Delegation,ROSE,106.29,0.00
Moon Enterprises,ME Venture Fund,Staking,CELO,0.00,167.74
Firetronics,FT Capital Fund,Delegation,AXL,142.30,0.00
Electric Sheep,ES Capital Fund,Delegation,ATOM,0.00,120.94
Electric Sheep,ES Capital Fund,Delegation,CELO,155.01,0.00
Moon Enterprises,ME Capital Fund,Staking,HASH,0.00,129.49
Firetronics,FT Venture Fund,Staking,ROSE,182.85,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,142.12
Electric Sheep,ES Venture Fund,Delegation,APT,141.27,0.00
Electric Sheep,ES Venture Fund,Staking,EVMOS,0.00,153.13
Firetronics,FT Venture Fund,Staking,AXL,142.32,0.00
Electric Sheep,ES Capital Fund,Staking,ATOM,0.00,168.33
Moon Enterprises,ME Venture Fund,Staking,ROSE,157.91,0.00
Firetronics,FT Venture Fund,Staking,ROSE,0.00,161.57
Moon Enterprises,ME Capital Fund,Delegation,ETH,142.99,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,119.80
Firetronics,FT Venture Fund,Delegation,SEI,132.85,0.00
Firetronics,FT Venture Fund,Staking,ETH,0.00,110.18
Electric Sheep,ES Venture Fund,Staking,ROSE,162.44,0.00
Firetronics,FT Venture Fund,Staking,OSMO,0.00,167.94
Moon Enterprises,ME Venture Fund,Delegation,ROSE,122.81,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,135.82
Moon Enterprises,ME Capital Fund,Staking,OSMO,138.94,0.00
Firetronics,FT Capital Fund,Delegation,ETH,0.00,130.39
Firetronics,FT Capital Fund,Staking,HASH,175.39,0.00
Moon Enterprises,ME Venture Fund,Staking,CELO,0.00,110.53
Firetronics,FT Venture Fund,Delegation,ETH,195.83,0.00
Firetronics,FT Capital Fund,Delegation,AXL,0.00,157.74
Electric Sheep,ES Capital Fund,Staking,APT,100.20,0.00
Moon Enterprises,ME Venture Fund,Staking,FLOW,0.00,145.26
Moon Enterprises,ME Venture Fund,Delegation,ETH,142.46,0.00
Moon Enterprises,ME Capital Fund,Delegation,APT,0.00,156.59
Electric Sheep,ES Capital Fund,Staking,HASH,136.16,0.00
Moon Enterprises,ME Venture Fund,Delegation,ROSE,0.00,199.17
Electric Sheep,ES Venture Fund,Staking,ROSE,127.72,0.00
Electric Sheep,ES Venture Fund,Delegation,ATOM,0.00,181.19
Moon Enterprises,ME Venture Fund,Staking,SEI,138.91,0.00
Firetronics,FT Venture Fund,Delegation,APT,0.00,120.58
Firetronics,FT Venture Fund,Delegation,OSMO,111.76,0.00
Moon Enterprises,ME Venture Fund,Delegation,FLOW,0.00,193.20
Firetronics,FT Venture Fund,Staking,HASH,163.80,0.00
Electric Sheep,ES Capital Fund,Delegation,SOL,0.00,137.03
Firetronics,FT Capital Fund,Staking,EVMOS,174.18,0.00
Electric Sheep,ES Capital Fund,Delegation,EVMOS,0.00,109.01
Electric Sheep,ES Capital Fund,Delegation,ETH,183.98,0.00
Electric Sheep,ES Venture Fund,Delegation,ROSE,0.00,157.42
Moon Enterprises,ME Capital Fund,Staking,ROSE,192.72,0.00
Electric Sheep,ES Venture Fund,Staking,OSMO,0.00,123.98
Firetronics,FT Venture Fund,Staking,SEI,104.24,0.00
Firetronics,FT Venture Fund,Staking,FLOW,0.00,183.19
Firetronics,FT Capital Fund,Delegation,CELO,145.22,0.00
Firetronics,FT Venture Fund,Delegation,OSMO,0.00,127.73
Electric Sheep,ES Venture Fund,Staking,ETH,104.18,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,198.50
Moon Enterprises,ME Venture Fund,Delegation,AXL,170.87,0.00
Moon Enterprises,ME Capital Fund,Delegation,SEI,0.00,102.66
Moon Enterprises,ME Capital Fund,Delegation,CELO,199.27,0.00
Electric Sheep,ES Venture Fund,Delegation,HASH,0.00,185.63
Moon Enterprises,ME Venture Fund,Delegation,ROSE,148.45,0.00
Moon Enterprises,ME Capital Fund,Staking,FLOW,0.00,193.16
Firetronics,FT Venture Fund,Delegation,ROSE,134.65,0.00
Electric Sheep,ES Venture Fund,Delegation,SOL,0.00,118.27
Moon Enterprises,ME Capital Fund,Delegation,SEI,123.37,0.00
Moon Enterprises,ME Venture Fund,Delegation,HASH,0.00,178.98
Firetronics,FT Capital Fund,Delegation,SUI,151.88,0.00
Firetronics,FT Capital Fund,Staking,SUI,0.00,180.94
Firetronics,FT Venture Fund,Delegation,AXL,118.49,0.00
Electric Sheep,ES Capital Fund,Delegation,ROSE,0.00,111.15
Firetronics,FT Capital Fund,Staking,EVMOS,194.22,0.00
Electric Sheep,ES Venture Fund,Delegation,APT,0.00,197.71
Moon Enterprises,ME Venture Fund,Delegation,AXL,191.90,0.00
Firetronics,FT Capital Fund,Staking,HASH,0.00,112.84
Electric Sheep,ES Capital Fund,Delegation,SUI,178.36,0.00
Firetronics,FT Capital Fund,Staking,SOL,0.00,179.48
Electric Sheep,ES Venture Fund,Staking,OSMO,138.41,0.00
Electric Sheep,ES Capital Fund,Delegation,SUI,0.00,164.94
Firetronics,FT Venture Fund,Delegation,SUI,115.53,0.00
Electric Sheep,ES Capital Fund,Delegation,CELO,0.00,158.97
Firetronics,FT Capital Fund,Staking,EVMOS,187.55,0.00
Firetronics,FT Venture Fund,Staking,ATOM,0.00,110.01
Electric Sheep,ES Capital Fund,Delegation,EVMOS,157.83,0.00
Electric Sheep,ES Venture Fund,Staking,FLOW,0.00,184.61
Moon Enterprises,ME Venture Fund,Staking,AXL,123.59,0.00
Moon Enterprises,ME Venture Fund,Delegation,SUI,0.00,183.41
Electric Sheep,ES Capital Fund,Staking,EVMOS,139.88,0.00
Electric Sheep,ES Capital Fund,Staking,APT,0.00,129.43
Firetronics,FT Capital Fund,Delegation,APT,134.22,0.00
Firetronics,FT Capital Fund,Staking,SUI,0.00,110.63
Electric Sheep,ES Venture Fund,Staking,SUI,138.75,0.00
Firetronics,FT Capital Fund,Delegation,APT,0.00,185.82
Electric Sheep,ES Capital Fund,Staking,APT,112.04,0.00
Moon Enterprises,ME Capital Fund,Staking,OSMO,0.00,168.65
Electric Sheep,ES Capital Fund,Delegation,CELO,140.63,0.00
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,0.00,195.67
Moon Enterprises,ME Venture Fund,Delegation,FLOW,192.37,0.00
Moon Enterprises,ME Venture Fund,Delegation,OSMO,0.00,132.60
Firetronics,FT Venture Fund,Staking,ROSE,128.74,0.00
Electric Sheep,ES Capital Fund,Staking,CELO,0.00,184.14
Moon Enterprises,ME Capital Fund,Staking,ATOM,150.48,0.00
Firetronics,FT Capital Fund,Staking,HASH,0.00,183.84
Moon Enterprises,ME Venture Fund,Staking,CELO,130.86,0.00
Moon Enterprises,ME Capital Fund,Staking,ETH,0.00,148.55
Firetronics,FT Venture Fund,Delegation,ATOM,109.11,0.00
Firetronics,FT Capital Fund,Staking,ATOM,0.00,133.24
Electric Sheep,ES Capital Fund,Delegation,APT,142.67,0.00
Moon Enterprises,ME Capital Fund,Delegation,APT,0.00,146.61
Firetronics,FT Venture Fund,Delegation,FLOW,146.07,0.00
Firetronics,FT Venture Fund,Staking,FLOW,0.00,108.93
Moon Enterprises,ME Capital Fund,Staking,ATOM,152.01,0.00
Moon Enterprises,ME Venture Fund,Delegation,HASH,0.00,139.98
Electric Sheep,ES Venture Fund,Staking,APT,113.22,0.00
Firetronics,FT Capital Fund,Staking,SOL,0.00,103.71
Moon Enterprises,ME Capital Fund,Staking,ETH,148.92,0.00
Moon Enterprises,ME Capital Fund,Delegation,EVMOS,0.00,172.70
Moon Enterprises,ME Capital Fund,Staking,HASH,107.05,0.00
Firetronics,FT Venture Fund,Delegation,ETH,0.00,123.60
Moon Enterprises,ME Capital Fund,Delegation,AXL,158.40,0.00
Firetronics,FT Venture Fund,Delegation,EVMOS,0.00,141.00
Firetronics,FT Venture Fund,Delegation,FLOW,139.73,0.00
Moon Enterprises,ME Venture Fund,Delegation,HASH,0.00,184.35
Firetronics,FT Venture Fund,Staking,SEI,156.29,0.00
Moon Enterprises,ME Venture Fund,Staking,HASH,0.00,107.34
Firetronics,FT Venture Fund,Staking,FLOW,125.49,0.00
Moon Enterprises,ME Venture Fund,Delegation,ROSE,0.00,130.30
Electric Sheep,ES Capital Fund,Delegation,SOL,124.41,0.00
Firetronics,FT Venture Fund,Delegation,SOL,0.00,139.53
Electric Sheep,ES Venture Fund,Staking,ETH,148.22,0.00
Moon Enterprises,ME Capital Fund,Staking,FLOW,0.00,166.44
Moon Enterprises,ME Capital Fund,Staking,ETH,149.53,0.00
Electric Sheep,ES Venture Fund,Staking,HASH,0.00,165.67
Firetronics,FT Capital Fund,Delegation,EVMOS,155.10,0.00
Moon Enterprises,ME Venture Fund,Staking,SEI,0.00,123.80
Firetronics,FT Capital Fund,Staking,SUI,188.96,0.00
Firetronics,FT Capital Fund,Staking,EVMOS,0.00,103.40
Electric Sheep,ES Venture Fund,Delegation,ROSE,178.25,0.00
Moon Enterprises,ME Venture Fund,Staking,APT,0.00,150.94
Moon Enterprises,ME Capital Fund,Staking,OSMO,180.18,0.00
Moon Enterprises,ME Venture Fund,Delegation,ROSE,0.00,124.92
Firetronics,FT Venture Fund,Staking,HASH,185.28,0.00
Electric Sheep,ES Capital Fund,Delegation,CELO,0.00,178.98
Electric Sheep,ES Capital Fund,Delegation,ROSE,148.69,0.00
Moon Enterprises,ME Capital Fund,Delegation,CELO,0.00,136.92
Moon Enterprises,ME Capital Fund,Delegation,SOL,136.88,0.00
Moon Enterprises,ME Capital Fund,Delegation,CELO,0.00,163.17
Electric Sheep,ES Capital Fund,Staking,SEI,199.22,0.00
Electric Sheep,ES Venture Fund,Delegation,ATOM,0.00,103.49
Firetronics,FT Capital Fund,Delegation,SEI,155.46,0.00
Electric Sheep,ES Capital Fund,Staking,SEI,0.00,125.32
Moon Enterprises,ME Venture Fund,Staking,ETH,160.75,0.00
Moon Enterprises,ME Capital Fund,Staking,APT,0.00,199.13
Firetronics,FT Capital Fund,Staking,SUI,161.00,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,197.23
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,193.03,0.00
Firetronics,FT Venture Fund,Staking,EVMOS,0.00,135.84
Electric Sheep,ES Capital Fund,Delegation,HASH,193.64,0.00
Firetronics,FT Venture Fund,Staking,SUI,0.00,195.40
Moon Enterprises,ME Venture Fund,Delegation,HASH,176.97,0.00
Electric Sheep,ES Capital Fund,Staking,SUI,0.00,164.32
Moon Enterprises,ME Capital Fund,Staking,CELO,122.18,0.00
Moon Enterprises,ME Capital Fund,Staking,FLOW,0.00,104.35
Electric Sheep,ES Capital Fund,Delegation,HASH,126.75,0.00
Moon Enterprises,ME Venture Fund,Delegation,SUI,0.00,169.73
Electric Sheep,ES Capital Fund,Staking,ETH,182.99,0.00
Electric Sheep,ES Venture Fund,Staking,FLOW,0.00,113.15
Electric Sheep,ES Capital Fund,Delegation,EVMOS,168.00,0.00
Moon Enterprises,ME Capital Fund,Delegation,APT,0.00,176.88
Electric Sheep,ES Venture Fund,Delegation,ROSE,111.14,0.00
Firetronics,FT Venture Fund,Staking,SOL,0.00,135.68
Electric Sheep,ES Capital Fund,Staking,HASH,156.64,0.00
Firetronics,FT Venture Fund,Staking,SOL,0.00,170.27
Electric Sheep,ES Capital Fund,Delegation,APT,121.64,0.00
Electric Sheep,ES Venture Fund,Delegation,SEI,0.00,158.02
Moon Enterprises,ME Capital Fund,Delegation,CELO,124.17,0.00
Electric Sheep,ES Venture Fund,Staking,ATOM,0.00,133.28
Electric Sheep,ES Capital Fund,Delegation,ATOM,181.71,0.00
Electric Sheep,ES Venture Fund,Staking,AXL,0.00,116.23
Moon Enterprises,ME Venture Fund,Delegation,OSMO,134.00,0.00
Firetronics,FT Venture Fund,Staking,FLOW,0.00,134.70
Electric Sheep,ES Venture Fund,Delegation,AXL,198.52,0.00
Firetronics,FT Capital Fund,Delegation,HASH,0.00,146.89
Electric Sheep,ES Venture Fund,Staking,CELO,187.42,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,189.16
Electric Sheep,ES Capital Fund,Staking,APT,154.31,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,168.64
Electric Sheep,ES Venture Fund,Delegation,HASH,193.22,0.00
Electric Sheep,ES Venture Fund,Delegation,AXL,0.00,159.43
Moon Enterprises,ME Venture Fund,Staking,ATOM,170.97,0.00
Electric Sheep,ES Venture Fund,Delegation,AXL,0.00,160.65
Electric Sheep,ES Venture Fund,Staking,EVMOS,125.74,0.00
Moon Enterprises,ME Capital Fund,Delegation,ETH,0.00,139.31
Firetronics,FT Capital Fund,Delegation,HASH,178.71,0.00
Firetronics,FT Capital Fund,Staking,OSMO,0.00,192.65
Moon Enterprises,ME Venture Fund,Delegation,APT,110.47,0.00
Moon Enterprises,ME Capital Fund,Delegation,ETH,0.00,105.26
Electric Sheep,ES Venture Fund,Delegation,ETH,124.48,0.00
Electric Sheep,ES Capital Fund,Delegation,SEI,0.00,143.28
Firetronics,FT Venture Fund,Delegation,ATOM,117.77,0.00
Electric Sheep,ES Capital Fund,Staking,HASH,0.00,111.47
Electric Sheep,ES Capital Fund,Staking,SEI,139.66,0.00
Electric Sheep,ES Venture Fund,Delegation,SEI,0.00,193.84
Moon Enterprises,ME Venture Fund,Staking,ROSE,133.82,0.00
Moon Enterprises,ME Capital Fund,Delegation,SUI,0.00,152.91
Firetronics,FT Venture Fund,Staking,APT,127.35,0.00
Firetronics,FT Capital Fund,Staking,SUI,0.00,118.87
Moon Enterprises,ME Venture Fund,Staking,AXL,101.08,0.00
Firetronics,FT Capital Fund,Delegation,OSMO,0.00,183.97
Moon Enterprises,ME Venture Fund,Staking,ETH,159.55,0.00
Moon Enterprises,ME Venture Fund,Delegation,ATOM,0.00,138.41
Moon Enterprises,ME Venture Fund,Staking,OSMO,137.51,0.00
Electric Sheep,ES Venture Fund,Delegation,ETH,0.00,134.44
Firetronics,FT Capital Fund,Staking,OSMO,109.29,0.00
Firetronics,FT Capital Fund,Delegation,ETH,0.00,174.41
Moon Enterprises,ME Capital Fund,Delegation,CELO,191.45,0.00
Moon Enterprises,ME Venture Fund,Staking,ATOM,0.00,195.68
Electric Sheep,ES Capital Fund,Delegation,HASH,170.23,0.00
Electric Sheep,ES Capital Fund,Delegation,ROSE,0.00,112.71
Electric Sheep,ES Venture Fund,Delegation,FLOW,157.45,0.00
Firetronics,FT Capital Fund,Delegation,SEI,0.00,127.84
Moon Enterprises,ME Venture Fund,Delegation,HASH,138.80,0.00
Electric Sheep,ES Capital Fund,Delegation,EVMOS,0.00,152.71
Moon Enterprises,ME Venture Fund,Delegation,SOL,194.34,0.00
Moon Enterprises,ME Venture Fund,Delegation,APT,0.00,108.89
Moon Enterprises,ME Venture Fund,Delegation,AXL,169.11,0.00
Electric Sheep,ES Venture Fund,Delegation,FLOW,0.00,172.53
Electric Sheep,ES Venture Fund,Staking,SOL,142.94,0.00
Firetronics,FT Capital Fund,Delegation,SEI,0.00,165.34
Firetronics,FT Capital Fund,Staking,SUI,134.27,0.00
Firetronics,FT Capital Fund,Delegation,HASH,0.00,125.07
Firetronics,FT Venture Fund,Delegation,SUI,163.50,0.00
Moon Enterprises,ME Venture Fund,Staking,FLOW,0.00,189.02
Firetronics,FT Capital Fund,Delegation,FLOW,137.09,0.00
Moon Enterprises,ME Venture Fund,Staking,SEI,0.00,143.16
Electric Sheep,ES Venture Fund,Staking,FLOW,159.34,0.00
Moon Enterprises,ME Capital Fund,Delegation,ATOM,0.00,107.44
Firetronics,FT Venture Fund,Staking,SOL,124.92,0.00
Moon Enterprises,ME Venture Fund,Delegation,SUI,0.00,139.20
Firetronics,FT Venture Fund,Delegation,AXL,117.79,0.00
Firetronics,FT Capital Fund,Delegation,ROSE,0.00,190.49
Firetronics,FT Capital Fund,Staking,APT,179.54,0.00
Firetronics,FT Capital Fund,Staking,OSMO,0.00,117.90
Moon Enterprises,ME Venture Fund,Delegation,ATOM,122.84,0.00
Firetronics,FT Venture Fund,Delegation,EVMOS,0.00,159.25
Electric Sheep,ES Venture Fund,Staking,HASH,174.68,0.00
Firetronics,FT Capital Fund,Staking,EVMOS,0.00,189.00
Moon Enterprises,ME Capital Fund,Staking,SOL,175.58,0.00
Firetronics,FT Capital Fund,Delegation,EVMOS,0.00,166.56
Firetronics,FT Venture Fund,Delegation,ROSE,106.28,0.00
Firetronics,FT Capital Fund,Staking,FLOW,0.00,146.47
Electric Sheep,ES Venture Fund,Delegation,FLOW,146.24,0.00
Firetronics,FT Venture Fund,Delegation,ROSE,0.00,162.80
Firetronics,FT Capital Fund,Delegation,EVMOS,151.61,0.00
Firetronics,FT Capital Fund,Delegation,SUI,0.00,179.75
Moon Enterprises,ME Capital Fund,Delegation,OSMO,192.24,0.00
Firetronics,FT Capital Fund,Delegation,EVMOS,0.00,106.20
Moon Enterprises,ME Venture Fund,Delegation,ETH,193.66,0.00
Firetronics,FT Capital Fund,Delegation,ATOM,0.00,141.68
Firetronics,FT Venture Fund,Delegation,ETH,188.62,0.00
Moon Enterprises,ME Venture Fund,Staking,APT,0.00,142.96
Electric Sheep,ES Capital Fund,Delegation,AXL,112.82,0.00
Electric Sheep,ES Capital Fund,Staking,ETH,0.00,127.00
Moon Enterprises,ME Venture Fund,Staking,APT,169.49,0.00
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,0.00,126.06
Moon Enterprises,ME Venture Fund,Staking,FLOW,174.04,0.00
Firetronics,FT Venture Fund,Staking,SOL,0.00,173.39
Moon Enterprises,ME Venture Fund,Staking,SOL,103.24,0.00
Firetronics,FT Capital Fund,Staking,ROSE,0.00,198.97
Moon Enterprises,ME Venture Fund,Delegation,ATOM,143.52,0.00
Electric Sheep,ES Venture Fund,Delegation,ATOM,0.00,147.39
Electric Sheep,ES Venture Fund,Delegation,CELO,116.05,0.00
Firetronics,FT Capital Fund,Delegation,OSMO,0.00,183.73
Electric Sheep,ES Capital Fund,Staking,ETH,166.57,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,198.09
Moon Enterprises,ME Venture Fund,Staking,ATOM,145.55,0.00
Firetronics,FT Venture Fund,Delegation,ATOM,0.00,169.80
Firetronics,FT Venture Fund,Staking,FLOW,162.38,0.00
Electric Sheep,ES Capital Fund,Delegation,AXL,0.00,181.35
Electric Sheep,ES Venture Fund,Staking,AXL,140.49,0.00
Electric Sheep,ES Venture Fund,Staking,EVMOS,0.00,149.49
Firetronics,FT Capital Fund,Delegation,CELO,109.15,0.00
Moon Enterprises,ME Venture Fund,Staking,AXL,0.00,159.16
Firetronics,FT Venture Fund,Staking,ATOM,132.74,0.00
Electric Sheep,ES Venture Fund,Delegation,SEI,0.00,136.07
Firetronics,FT Capital Fund,Delegation,SEI,124.56,0.00
Electric Sheep,ES Capital Fund,Staking,ATOM,0.00,106.03
Moon Enterprises,ME Venture Fund,Staking,ROSE,145.01,0.00
Firetronics,FT Venture Fund,Staking,ROSE,0.00,145.45
Firetronics,FT Capital Fund,Delegation,SUI,191.61,0.00
Firetronics,FT Capital Fund,Staking,SEI,0.00,149.94
Moon Enterprises,ME Venture Fund,Staking,SUI,104.82,0.00
Electric Sheep,ES Capital Fund,Delegation,AXL,0.00,121.65
Electric Sheep,ES Venture Fund,Staking,HASH,195.66,0.00
Electric Sheep,ES Capital Fund,Staking,ROSE,0.00,178.53
Electric Sheep,ES Venture Fund,Delegation,HASH,175.43,0.00
Electric Sheep,ES Venture Fund,Delegation,OSMO,0.00,119.72
Firetronics,FT Capital Fund,Delegation,SOL,185.46,0.00
Electric Sheep,ES Capital Fund,Delegation,OSMO,0.00,195.27
Electric Sheep,ES Capital Fund,Delegation,CELO,191.13,0.00
Electric Sheep,ES Venture Fund,Staking,APT,0.00,125.55
Moon Enterprises,ME Capital Fund,Staking,EVMOS,199.67,0.00
Moon Enterprises,ME Venture Fund,Delegation,AXL,0.00,168.97
Electric Sheep,ES Capital Fund,Delegation,SOL,119.49,0.00
Electric Sheep,ES Capital Fund,Staking,HASH,0.00,121.85
Moon Enterprises,ME Venture Fund,Staking,ROSE,191.12,0.00
Electric Sheep,ES Capital Fund,Delegation,EVMOS,0.00,189.65
Electric Sheep,ES Venture Fund,Delegation,EVMOS,157.65,0.00
Firetronics,FT Capital Fund,Delegation,HASH,0.00,175.61
